name,neighborhood,address
BAY CAFE,Canton,"2809 BOSTON ST
Baltimore, MD"
BEACH  BUMS CAFÂ,Federal Hill,"1038 LIGHT ST
Baltimore, MD"
BECKER'S TAVERN,Baltimore Highlands,"3820 PRATT ST
Baltimore, MD"
BEDROCK,Downtown,"401 BALTIMORE ST
Baltimore, MD"
BEDROCK (KITCHEN AREA),Downtown,"401 BALTIMORE ST
Baltimore, MD"
BELAIR PUB,Glenham-Belford,"5860 BELAIR RD
Baltimore, MD"
BELT STREET PUB,Riverside,"1747 BELT ST
Baltimore, MD"
BELVEDERE TOWERS CAFÂ,Roland Park,"1190 NORTHERN PKWY
Baltimore, MD"
"BERGER'S TAVERN, INCORPORATED",Waltherson,"5523 BELAIR RD
Baltimore, MD"
BERMUDA BAR,Broadway East,"1801 NORTH AVE
Baltimore, MD"
BERTHA'S RESTAURANT,Fells Point,"734 BROADWAY
Baltimore, MD"
BERT'S EATS & DRINKS (3103-05),Charles Village,"3105 ST PAUL ST
Baltimore, MD"
BEST WESTERN TRAVEL PLAZA,Pulaski Industrial Area,"5625 O DONNELL ST
Baltimore, MD"
BIG APPLE TREE CAFÂ,Downtown,"300 BALTIMORE ST
Baltimore, MD"
BIG BAD WOLF'S HOUSE OF BARBEQUE,Harford-Echodale/Perring Parkway,"5713 HARFORD RD
Baltimore, MD"
BIG KAHUNA CANTINA,Inner Harbor,"301 LIGHT ST
Baltimore, MD"
BIG TEE'S BAR & GRILL,Greektown,"300 OLDHAM ST
Baltimore, MD"
BILL'S 60'S & 70'S CLUB,Hollins Market,"1000 LOMBARD ST
Baltimore, MD"
BILL'S CAFE,Graceland Park,"6701 HOLABIRD AVE
Baltimore, MD"
BILL'S LIGHTHOUSE INN,Riverside,"1741 LIGHT ST
Baltimore, MD"
BILTMORE SUITES HOTEL,Mount Vernon,"205 MADISON ST
Baltimore, MD"
BIRCHES RESTAURANT,Canton,"641 MONTFORD AVE
Baltimore, MD"
BIRDS OF A FEATHER,Fells Point,"1712 ALICEANNA ST
Baltimore, MD"
"BLACKTIE SERVICE, LLP",Seton Business Park,"4700 MT HOPE DR
Baltimore, MD"
BLACKTIE SERVICES,Woodberry,"3725 MALDEN AVE
Baltimore, MD"
BLARNEY STONE INN,Brooklyn,"3915 HANOVER ST
Baltimore, MD"
BLARNEY STONE PUB,Fells Point,"704 BROADWAY
Baltimore, MD"
BLEACHERS,Canton,"2501 FLEET ST
Baltimore, MD"
ALLEN RESTAURANT,Waltherson,"5621 BELAIR RD
Baltimore, MD"
ALOHA TOKYO,Locust Point Industrial Area,"1120 FORT AVE
Baltimore, MD"
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,Evergreen,"415 COLD SPRING LN
Baltimore, MD"
AMBASSADOR DINNING ROOM,Tuscany-Canterbury,"3811 CANTERBURY RD
Baltimore, MD"
AMBROSIA'S,Cherry Hill,"1810 CHERRY HILL RD
Baltimore, MD"
AMERICAN FOOD SERVICE,Hollins Market,"901 PRATT ST
Baltimore, MD"
AMERICAN LEGION FEDERAL POST #19,Madison Park,"1502 MADISON AVE
Baltimore, MD"
AMERICAN LEGION POST #187,Curtis Bay,"1527 CHERRY ST
Baltimore, MD"
AMERICAN LEIGON FORT MCHENRY POST #133,Riverside,"506 FORT AVE
Baltimore, MD"
AMIGO'S BAR,Highlandtown,"400 EATON ST
Baltimore, MD"
ANGELINA'S,North Harford Road,"7135 HARFORD RD
Baltimore, MD"
ANGELO'S RESTAURANT & CARRYOUT,Wyman Park,"3600 KESWICK RD
Baltimore, MD"
ANGELS ROCK BAR,Downtown,"10 MARKET PLACE
Baltimore, MD"
ANGLE INN,Pulaski Industrial Area,"5805 O Donnell ST
Baltimore, MD"
ANNABEL LEE TAVERN,Canton,"601 CLINTON ST
Baltimore, MD"
ANNS AT LEXINGTON PLACE,Seton Hill,"631 LEXINGTON ST
Baltimore, MD"
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,Fallstaff,"6798 REISTERSTOWN RD
Baltimore, MD"
aramark at citi bank baltimore,Downtown,"300 st paul pl
Baltimore, MD"
ARAMARK FHC SPORTS  (MAIN KITCHEN),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK FHC SPORTS (BAR 200-201),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK FHC SPORTS (BAR 210),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK FHC SPORTS (BAR 217),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK FHC SPORTS (BAR 221),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK FHC SPORTS (BAR 232),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK FHC SPORTS (BAR 236),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK FHC SPORTS (BAR 244),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK FHC SPORTS (BAR 252-253),Stadium Area,"1101 RUSSELL ST
Baltimore, MD"
ARAMARK/PNC,Downtown,"Hopkins Pl
Baltimore, MD"
ARA-MONUMENTAL LIFE INSURANCE COMPANY,Mid-Town Belvedere,"2 CHASE ST
Baltimore, MD"
ARCH SOCIAL CLUB,Penn North,"2426 PENNSYLVANIA
Baltimore, MD"
ARCOS,Washington Hill,"129 BROADWAY
Baltimore, MD"
ARIZONA BAR & GRILL,Washington Hill,"25 BROADWAY
Baltimore, MD"
ASAHI SUSHI,Fells Point,"629 BROADWAY
Baltimore, MD"
asian taste,Hampden,"916 36th st
Baltimore, MD"
ATWATER'S,Chinquapin Park-Belvedere,"529 BELVEDERE AVE
Baltimore, MD"
AU BON PAIN,Downtown,"1 SOUTH ST
Baltimore, MD"
AUSTIN GRILL,Canton,"2400 BOSTON ST
Baltimore, MD"
AUSTIN GRILL,Canton,"2400 BOSTON ST
Baltimore, MD"
AVENUE BAR & LIQUOR,Johnston Square,"1238 GREENMOUNT AVE
Baltimore, MD"
azteca de oro,Greektown,"4901 eastern ave
Baltimore, MD"
B,Bolton Hill,"1501 bolton ST
Baltimore, MD"
B & J RESTAURANT,Carrollton Ridge,"2251 WILKENS AVE
Baltimore, MD"
B & O CAFE,New Southwest/Mount Clare,"1301 PRATT ST
Baltimore, MD"
B G'S,Carrollton Ridge,"301 PAYSON ST
Baltimore, MD"
"B.G.'S,PUB INCORPORATED",Greektown,"619 OLDHAM ST
Baltimore, MD"
babalu grill,Downtown,"34 MARKET PL
Baltimore, MD"
BACKSTRETCH SALOON,Medfield,"1301 OLD COLDSPRING Ln
Baltimore, MD"
BAJA BEACH CLUB  (COMBINED WITH BAR-L),Downtown,"55 MARKET PL
Baltimore, MD"
BALTIMORE BEVERAGE CO. LLC,Downtown,"20 BALTIMORE ST
Baltimore, MD"
BALTIMORE BEVERAGE CO. -STARBUCKS,Downtown,"20 BALTIMORE ST
Baltimore, MD"
BALTIMORE COUNTRY CLUB,Roland Park,"4712 CLUB RD
Baltimore, MD"
BALTIMORE DELIGHT RESTAURANT,Greektown,"4713 EASTERN AVENUE
Baltimore, MD"
"BALTIMORE EAGLE, INC.",Charles North,"2022 CHARLES ST
Baltimore, MD"
BALTIMORE ESTONIAN SOCIETY,South Clifton Park,"1932 BELAIR RD
Baltimore, MD"
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,Inner Harbor,"700 ALICEANNA ST
Baltimore, MD"
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,Inner Harbor,"700 ALICEANNA ST
Baltimore, MD"
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,Inner Harbor,"700 ALICEANNA ST
Baltimore, MD"
BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI,Inner Harbor,"700 ALICEANNA ST
Baltimore, MD"
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,Inner Harbor,"110 EUTAW ST
Baltimore, MD"
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,Inner Harbor,"110 EUTAW ST
Baltimore, MD"
BALTIMORE PHO,Hollins Market,"1114 16 HOLLINS ST
Baltimore, MD"
BALTMORE KICKERS,Washington Hill,"26 BROADWAY
Baltimore, MD"
BANJARA,Federal Hill,"1015 CHARLES ST
Baltimore, MD"
BANTHAI,Downtown,"340 CHARLES ST
Baltimore, MD"
BARISTA ESPRESSO CAFÂ,Inner Harbor,"500 HARBORVIEW DR
Baltimore, MD"
BARNES & NOBLE BOOKSELLERS,Inner Harbor,"601 PRATT ST
Baltimore, MD"
BARTENDERS,Canton,"2218 BOSTON ST
Baltimore, MD"
BLU BAMBU-FRESH AISIAN EATS,Inner Harbor,"621 PRATT ST
Baltimore, MD"
BLUE AGAVE RESTAURANT AND TEQUILERIA,Federal Hill,"1032 LIGHT ST
Baltimore, MD"
BLUE CRAB EXPRESS & CAFÂ INC.,Cherry Hill,"1020 PATAPSCO AVE
Baltimore, MD"
blue island malaysian cuisine,Downtown,"400 lexington st
Baltimore, MD"
BLUE JEAN CAFE,Broening Manor,"6422 HOLABIRD AVE
Baltimore, MD"
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,Fells Point,"1621 ALICEANNA ST
Baltimore, MD"
BLUE PARROT,Glenham-Belford,"5860 BELAIR RD
Baltimore, MD"
BLUE POINT CRAB HOUSE (seasonal),Patterson Place,"237 MONTFORD AVE
Baltimore, MD"
BLUE SEA GRILL,Downtown,"614 WATER ST
Baltimore, MD"
BLUE SKY RESTAURANT,Downtown,"237 PARK AVE
Baltimore, MD"
BLUEHOUSE,Fells Point,"1407 FLEET ST
Baltimore, MD"
BO BROOKS,Canton,"2701 BOSTON ST
Baltimore, MD"
BOB CUMMINGS PLACE,Baltimore-Linwood,"148 EAST AVE
Baltimore, MD"
BOB DELI,Hopkins Bayview,"333 CASSELL DR
Baltimore, MD"
BOB'S BAR,Washington Village,"1173 WASHINGTON BLVD
Baltimore, MD"
BOB'S OLDIE'S CAFÂ,Brewers Hill,"4017 19 EASTERN AVE
Baltimore, MD"
BOCCACCIO,Little Italy,"925 EASTERN AVE
Baltimore, MD"
BOP BRICK OVEN PIZZA,Fells Point,"800 BROADWAY
Baltimore, MD"
BOUILLABAISSE CAFÂ,Downtown,"316 PARK AVE
Baltimore, MD"
BOULDER GARDEN CAFE,Loyola/Notre Dame,"4501 CHARLES ST
Baltimore, MD"
BRASS MONKEY SALOON,Fells Point,"1601 EASTERN AVE
Baltimore, MD"
BRASSERIE TATIN,Tuscany-Canterbury,"105 39TH ST
Baltimore, MD"
BREEZE INC.,Hampden,"850 36TH ST
Baltimore, MD"
"BRENDAL, INC.",Riverside,"201 FORT AVE
Baltimore, MD"
BREWER'S HILL PUB & GRILL,Brewers Hill,"3734 FLEET ST
Baltimore, MD"
BREWSTER'S TAVERN,Upper Fells Point,"2201 GOUGH ST
Baltimore, MD"
BROADWAY DINER,Pulaski Industrial Area,"6501 EASTERN AVE
Baltimore, MD"
BROOKEY'S,Belair-Edison,"4201 BELAIR RD
Baltimore, MD"
BROOKLYN BOOSTER CLUB,Brooklyn,"646 PATAPSCO AVE
Baltimore, MD"
"BROOKLYN INN, LLC",Brooklyn,"705 PATAPSCO
Baltimore, MD"
BROOKLYN PLEASURE CLUB,Brooklyn,"430 PATAPSCO AVE
Baltimore, MD"
"BROTHERS PLACE, INC.",Carrollton Ridge,"1846 PRATT ST
Baltimore, MD"
"BRUCE MCKELDIN CONSULTING, LLC",Fells Point,"702 BROADWAY
Baltimore, MD"
BUD PAOLINO'S RESTAURANT,Baltimore Highlands,"3919 LOMBARD ST
Baltimore, MD"
BUFFALO WINGGS AND BEER,North Harford Road,"7653 HARFORD RD
Baltimore, MD"
BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV,Harwood,"454 WHITERIDGE AVE
Baltimore, MD"
BULLSEYE BAR & GRILLE,North Harford Road,"7653 HARFORD RD
Baltimore, MD"
BURGER KING,Carroll Park,"1735 WASHINGTON BLVD
Baltimore, MD"
BURGER KING,Fells Point,"2033 EASTERN AVE
Baltimore, MD"
BURGER KING,Kresson,"4100 PULASKI HWY
Baltimore, MD"
BURGER KING,Downtown,"8 FAYETTE ST
Baltimore, MD"
BURGER KING # 10293,Druid Heights,"1201 NORTH AVE
Baltimore, MD"
BURGER KING # 13360,Remington,"555 29TH ST
Baltimore, MD"
BURGER KING #10294,Pleasant View Gardens,"1241 ORLEANS ST
Baltimore, MD"
BURGER KING #10295,Central Park Heights,"4400 REISTERSTOWN RD
Baltimore, MD"
BURGER KING #1950,Cherry Hill,"1437 PATAPSCO AVE
Baltimore, MD"
BURGER KING #2610,Mondawmin,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD"
"BURKE'S CAFE, INCORPORATED",Downtown,"36 LIGHT ST
Baltimore, MD"
BURKE'S CAFÂ/ COMEDY FACTORY,Downtown,"36 LIGHT ST
Baltimore, MD"
BUSTER'S PUB,Baltimore-Linwood,"3208 LOMBARD ST
Baltimore, MD"
"BUTTS & BETTY'S TAVERN, INC.",Upper Fells Point,"2200 GOUGH ST
Baltimore, MD"
B-WATCH,Fells Point,"2000 EASTERN AVE
Baltimore, MD"
BYZANTIO CAFÂ,Greektown,"4618 EASTERN AVE
Baltimore, MD"
CAFÂ AZAFRAN,Johns Hopkins Homewood,"3700 SAN MARTIN DR
Baltimore, MD"
CAFÂ EXPRESS,Downtown,"36 CHARLES ST
Baltimore, MD"
CAFÂ GIA,Little Italy,"410 HIGH ST
Baltimore, MD"
CAFÂ GOURMET,Downtown,"1 CHARLES ST
Baltimore, MD"
CAFE' INTERNATIONALE,Inner Harbor,"401 PRATT ST
Baltimore, MD"
CAFÂ LATTE 'DA,Fells Point,"1704 ALICEANNA ST
Baltimore, MD"
CAFE MANET,Federal Hill,"1020 CHARLES ST
Baltimore, MD"
"CAFÂ ON THE SQUARE, LLC",Downtown,"11 PACA ST
Baltimore, MD"
CAFÂ SUSSIE'S,Greenmount West,"203 NORTH AVE
Baltimore, MD"
CAFE ZEN,Rosebank,"438 BELVEDERE AVE
Baltimore, MD"
CALIFORNIA PIZZA KITCHEN,Inner Harbor,"201 PRATT ST
Baltimore, MD"
CAMDEN PUB,University Of Maryland,"647 PRATT ST
Baltimore, MD"
CAMERON'S SEAFOOD,Central Park Heights,"2707 COLD SPRING LN
Baltimore, MD"
CANTINA LAS AMERICAS/LA RUMBA,Washington Hill,"1650 54 E PRATT ST
Baltimore, MD"
CANTON COVE,Canton,"901 CLINTON ST
Baltimore, MD"
CANTON STATION,Canton Industrial Area,"1028 CONKLING ST
Baltimore, MD"
CANTON'S PEARLS,Canton,"3301 BOSTON ST
Baltimore, MD"
CANTON'S PORTSIDE TAVERN,Canton,"2821 O DONNELL ST
Baltimore, MD"
CAPTAIN LARRY'S,Riverside,"601 FORT AVE
Baltimore, MD"
caribbean paradise,Charles North,"1818 charles ST
Baltimore, MD"
CARIBOU COFFEE,Downtown,"1 CHARLES ST
Baltimore, MD"
CARL REFEERS BAR & GRILL,Fells Point,"707 BROADWAY
Baltimore, MD"
CARLOS O'CHARLIES,Highlandtown,"3508 EASTERN AVE
Baltimore, MD"
CARL'S LITTLE HOUSE,Washington Village,"1171 HAMBURG ST
Baltimore, MD"
CARLYLE CLUB,Roland Park,"500 UNIVERSITY PKWY
Baltimore, MD"
CAROLINAS TEX- MEX RESTAURANT,Fells Point,"1704 GOUGH ST
Baltimore, MD"
CAROLINA'S TEX-MEX RESTURANT,Fells Point,"505 BROADWAY
Baltimore, MD"
CARROLL STATION,Carroll Park,"1415 WASHINGTON BLVD
Baltimore, MD"
CARROLL STATION,Carroll Park,"1415 19 WASHINGTON BLVD
Baltimore, MD"
CASSANOVIA,Penn North,"2700 PENNSYLVANIA AVE
Baltimore, MD"
CASTAWAY'S BAR &  GRILL,Canton,"2206 BOSTON ST
Baltimore, MD"
CATALINA RESTAURANT,Inner Harbor,"500 HARBOR VIEW DR
Baltimore, MD"
CATCH 22 SALOON,Joseph Lee,"6000 EASTERN AVE
Baltimore, MD"
CATON HOUSE RESTAURANT,Morrell Park,"1506 CATON AVE
Baltimore, MD"
CATTLE & FIN GRILL,Woodring,"6826 HARFORD RD
Baltimore, MD"
CAZBAR,Downtown,"316 CHARLES ST
Baltimore, MD"
CC LOUNGE,Lucille Park,"4923 REISTERSTOWN RD
Baltimore, MD"
CEASAR'S DEN,Little Italy,"223 HIGH ST
Baltimore, MD"
CEDONIA INN,Frankford,"5900 MORAVIA RD
Baltimore, MD"
"CENTER CLUB, INCORPORATED",Inner Harbor,"100 LIGHT ST
Baltimore, MD"
CENTER STAGE,Mount Vernon,"700 CALVERT ST
Baltimore, MD"
CENTRAL STATION,Mid-Town Belvedere,"1001 CHARLES ST
Baltimore, MD"
CERIELLO FINE FOODS,Chinquapin Park-Belvedere,"529 BELVEDERE AVE
Baltimore, MD"
CHAMPAGNE TONY'S,Mid-Town Belvedere,"1 CHASE ST
Baltimore, MD"
"CHARLES & MADISON, LLC",Mount Vernon,"801 CHARLES ST
Baltimore, MD"
CHARLES RESTAURANT  &  CARRYOUT,Charles Village,"38 25TH ST
Baltimore, MD"
CHARLES ST DELI,Downtown,"2 charles st
Baltimore, MD"
CHARLES VILLAGE PUB,Charles Village,"3107 ST PAUL ST
Baltimore, MD"
CHARLESTON,Inner Harbor,"1000 LANCASTER ST
Baltimore, MD"
CHARLIE & DEE RESTAURANT,Washington Village,"1539 BUSH ST
Baltimore, MD"
CHARLOTTE'S,Riverside,"1542 LIGHT ST
Baltimore, MD"
CHARM CITY INN,Greektown,"500 LEHIGH ST
Baltimore, MD"
CHAZZ &  REN'E,Canton,"800 KENWOOD AVE
Baltimore, MD"
CHEERLEADERS,Fells Point,"702 BROADWAY
Baltimore, MD"
CHEERLEADERS SPORTS BAR,Fells Point,"702 BROADWAY ST
Baltimore, MD"
CHEF PAOLINO,Inner Harbor,"100 CHARLES ST
Baltimore, MD"
CHESAPEAKE BAY RESTAURANT,Johns Hopkins Homewood,"10 ART MUSEUM DR
Baltimore, MD"
CHESAPEAKE WINE COMPANY,Canton,"2400 BOSTON ST
Baltimore, MD"
CHIAPPARELLI'S RESTAURANT,Little Italy,"237 HIGH ST
Baltimore, MD"
CHIC & TROUT (1007-09),Johnston Square,"1007 GREENMOUNT AVE
Baltimore, MD"
CHICKEN RICO,Brewers Hill,"3728 EASTERN AVE
Baltimore, MD"
CHIMES CAFÂ,Seton Business Park,"4814 SETON DR
Baltimore, MD"
CHINA CHEF,Baltimore Highlands,"3816 LOMBARD ST
Baltimore, MD"
CHINA EAST,Joseph Lee,"6230 EASTERN AVE
Baltimore, MD"
CHINA EUTAW EXPRESS,Downtown,"236 238 N EUTAW ST
Baltimore, MD"
CHINA GARDEN,Oldtown,"582 OLD TOWN MALL
Baltimore, MD"
CHINA WOK,Loch Raven,"5820 HILLEN RD
Baltimore, MD"
CHINATOWN CAFÂ,Downtown,"323 PARK AVE
Baltimore, MD"
CHINESE DELIGHT,Hampden,"4032 FALLS RD
Baltimore, MD"
CHIPOTLE,Inner Harbor,"621 PRATT ST
Baltimore, MD"
CHIPOTLE MEXICAN GRILL,Charles Village,"3201 ST PAUL ST
Baltimore, MD"
CHIU'S SUSHI JAPANESE RESTAURANT,Inner Harbor,"608 EXETER ST
Baltimore, MD"
CHIYO SUSHI,Mount Washington,"1619 SULGRAVE AVE
Baltimore, MD"
CHOCOLATEA,Tuscany-Canterbury,"3811 CANTERBURY RD
Baltimore, MD"
CHOPPER'S TAVERN,Upton,"1531 PENNSYLVANIA AVE
Baltimore, MD"
CHOW  MEIN CHARLIES  chinese food,Roland Park,"508 COLD SPRING LN
Baltimore, MD"
CHRIS LIQUOR & GRILL,Washington Village,"1273 washington blvd
Baltimore, MD"
CHUBBIES CLUB,Fells Point,"2000 EASTERN AVE
Baltimore, MD"
CHUCK'S,Canton,"3137 EASTERN AVE
Baltimore, MD"
CHUNG MEE RESTAURANT,Woodbourne Heights,"5646 THE
Baltimore, MD"
CIAO BELLA RESTAURANT,Little Italy,"236 HIGH ST
Baltimore, MD"
CINCO DE MAYO,Little Italy,"1312 EASTERN AVE
Baltimore, MD"
CINGHIALE,Inner Harbor,"822 LANCASTER ST
Baltimore, MD"
CIRCUS BAR & RESTAURANT,Downtown,"427 BALTIMORE ST
Baltimore, MD"
CITY LIMITS SPORTS BAR,Locust Point,"1700 FORT AVE
Baltimore, MD"
claddagh pub,Canton,"2918 O DONNELL ST
Baltimore, MD"
CLASSIC CAFE EXPRESS,Mid-Town Belvedere,"1515 CHARLES ST
Baltimore, MD"
CLAYTON FINE BOOKS & CAFÂ,Downtown,"317 CHARLES ST
Baltimore, MD"
CLIFTON PARK GOLF COURSE SNACK BAR,Darley Park,"2701 ST LO DR
Baltimore, MD"
CLIPPER MILL INN,Hampden,"1619 UNION AVE
Baltimore, MD"
CLUB 1722,Charles North,"1722 CHARLES ST
Baltimore, MD"
CLUB BAR,Sandtown-Winchester,"1609 LAURENS ST
Baltimore, MD"
CLUB BUNNS (606-08),Seton Hill,"606 LEXINGTON ST
Baltimore, MD"
club charles zodiac     (1724-1726 n. charles st),Charles North,"1724 CHARLES ST
Baltimore, MD"
CLUB CHOICES,Charles North,"1817 CHARLES ST
Baltimore, MD"
CLUB CLIMAX,Shipley Hill,"2432 BALTIMORE ST
Baltimore, MD"
CLUB CONFETTI,Fells Point,"1609 BANK ST
Baltimore, MD"
CLUB HAREM,Downtown,"425 BALTIMORE ST
Baltimore, MD"
CLUB HOUSE BAR & GRILL,Orangeville Industrial Area,"4217 ERDMAN AVE
Baltimore, MD"
CLUB HUSH,Carrollton Ridge,"1930 LOMBARD ST
Baltimore, MD"
CLUB INTERNATIONAL,Shipley Hill,"2301 BALTIMORE ST
Baltimore, MD"
CLUB LUZERENE,McElderry Park,"542 LUZERNE AVE
Baltimore, MD"
CLUB MATE,Brooklyn,"3610 HANOVER ST
Baltimore, MD"
CLUB MIAMI,Downtown,"414 BALTIMORE ST
Baltimore, MD"
CLUB MITCHELL,Jonestown,"1003 PRATT ST
Baltimore, MD"
CLUB OKAPI,Carrollton Ridge,"2219 PRATT ST
Baltimore, MD"
CLUB ONE,Downtown,"300 SARATOGA ST
Baltimore, MD"
CLUB PHOENIX,Mid-Town Belvedere,"1 BIDDLE ST
Baltimore, MD"
CLUB PUSSYCAT,Downtown,"411 BALTIMORE ST
Baltimore, MD"
CLUB RIO & TOUCH OF CLASS,Winchester,"1315 Bloomingdale Dr
Baltimore, MD"
CLUBHOUSE BAR,Carrollton Ridge,"1812 PRATT ST
Baltimore, MD"
CLUBHOUSE BAR & GRILL,Orangeville Industrial Area,"4217 ERDMAN AVE
Baltimore, MD"
COACH HOUSE INN,Cedmont,"6605 BELAIR RD
Baltimore, MD"
COCKY LOU'S,Broadway East,"2101 NORTH AVE
Baltimore, MD"
COCO MOKA CAFÂ,Riverside,"921 FORT AVE
Baltimore, MD"
COCONUT CAFÂ,Mount Vernon,"311 MADISON ST
Baltimore, MD"
COFFEE LAND,Downtown,"222 CHARLES ST
Baltimore, MD"
COLD STONE CREAMERY #1479,Canton,"2500 BOSTON ST
Baltimore, MD"
COLD STONE CREAMERY# 102,Canton,"2500 BOSTON ST
Baltimore, MD"
COLLINS CORNER,Westport,"2231 CEDLEY ST
Baltimore, MD"
COLONIAL INN,Fells Point,"2001 EASTERN AVE
Baltimore, MD"
COMMON GROUND,Hampden,"819 36TH ST
Baltimore, MD"
COOKIE'S  CITY  LINE  DINER,Hawkins Point,"6407 FORT SMALLWOOD RD
Baltimore, MD"
COOPER'S LIQUOR (568-570),Oldtown,"568 OLD TOWN MALL
Baltimore, MD"
COPRA,Downtown,"313 CHARLES ST
Baltimore, MD"
CORKS,Federal Hill,"1026 CHARLES ST
Baltimore, MD"
CORKY'S GRILL,Remington,"225 23RD ST
Baltimore, MD"
CORRADO'S CAFÂ,Downtown,"203 REDWOOD ST
Baltimore, MD"
"COSI, INC. # 157",Inner Harbor,"100 CHARLES ST
Baltimore, MD"
COSMOPOLITAN BAR & GRILL,Canton,"2933 O DONNELL ST
Baltimore, MD"
COSMOS RESTAURANT-CARRYOUT (5427-29),Harford-Echodale/Perring Parkway,"5427 HARFORD RD
Baltimore, MD"
COTTON CLUB,Midtown-Edmondson,"2000 HARLEM AVE
Baltimore, MD"
courthouse east cafâ€š',Downtown,"111 calvert st
Baltimore, MD"
COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE,Inner Harbor,"1000 ALICEANNA ST
Baltimore, MD"
crazy johns,Downtown,"410 BALTIMORE ST
Baltimore, MD"
CRAZY LIL'S,Federal Hill,"27 CROSS ST
Baltimore, MD"
CREATIVE ALLIANCE,Canton,"3134 EASTERN AVE
Baltimore, MD"
CREPE DU JOUR,Mount Washington,"1609 SULGRAVE AVE
Baltimore, MD"
CROSSROADS SPORTS PUB & GRILL,Canton,"3328 FOSTER AVE
Baltimore, MD"
CURB SHOPPE,North Roland Park/Poplar Hill,"5736 FALLS RD
Baltimore, MD"
CURLEY ST.  CAFÂ,Canton,"701 CURLEY ST
Baltimore, MD"
CURTIS BAY ATHLETIC CLUB,Curtis Bay,"1603 CEDDOX ST
Baltimore, MD"
D J'S GASLIGHT,Curtis Bay,"4900 CURTIS AVE
Baltimore, MD"
DAILY  GRIND  COFFEE  HOUSE,Middle East,"720 RUTLAND AVE
Baltimore, MD"
DAILY GRIND,Canton,"1030 LINWOOD AVE
Baltimore, MD"
